model_size_label,identity_frame,domain,original_correct_mean,swapped_correct_mean,swap_direction_match_mean,pair_accuracy_mean,tie_accuracy_mean,non_tie_accuracy_mean,magnitude_symmetry_mean,cycle_free_ratio_mean,strict_structure_pass_rate,n_pairs,n_item_paraphrases
410m,tool_only,authorship,0.4166666666666667,0.5,0.08333333333333333,0.25,1.0,0.1,0.08333333333333333,1.0,0.0,12,1
410m,tool_only,commitment,0.25,0.5416666666666666,0.25,0.4583333333333333,0.875,0.25,0.25,1.0,0.0,24,2
410m,tool_only,memory,0.041666666666666664,0.6666666666666666,0.041666666666666664,0.375,1.0,0.0625,0.041666666666666664,1.0,0.0,24,2
410m,tool_only,responsibility,0.2916666666666667,0.375,0.25,0.3333333333333333,0.75,0.125,0.25,1.0,0.0,24,2
410m,tool_only,style,0.16666666666666666,0.4166666666666667,0.08333333333333333,0.5833333333333334,1.0,0.16666666666666666,0.08333333333333333,1.0,0.0,12,1
70m,baseline_helpful,authorship,0.5833333333333334,0.08333333333333333,0.5,0.16666666666666666,0.0,0.2,0.5,1.0,0.0,12,1
70m,baseline_helpful,commitment,0.5416666666666666,0.20833333333333334,0.3333333333333333,0.375,0.5,0.3125,0.3333333333333333,1.0,0.0,24,2
70m,baseline_helpful,memory,0.5,0.16666666666666666,0.375,0.4166666666666667,0.625,0.3125,0.3958333333333333,0.9375,0.0,24,2
70m,baseline_helpful,responsibility,0.375,0.16666666666666666,0.25,0.3333333333333333,0.625,0.1875,0.25,1.0,0.0,24,2
70m,baseline_helpful,style,0.4166666666666667,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.16666666666666666,0.0,0.3333333333333333,1.0,0.0,12,1
70m,family_self,authorship,0.75,0.0,0.08333333333333333,0.3333333333333333,1.0,0.2,0.08333333333333333,1.0,0.0,12,1
70m,family_self,commitment,0.6666666666666666,0.0,0.0,0.5,0.875,0.3125,0.0,1.0,0.0,24,2
70m,family_self,memory,0.6666666666666666,0.0,0.041666666666666664,0.4583333333333333,0.5,0.4375,0.08333333333333333,1.0,0.0,24,2
70m,family_self,responsibility,0.625,0.0,0.041666666666666664,0.5416666666666666,0.875,0.375,0.0625,0.9375,0.0,24,2
70m,family_self,style,0.5,0.0,0.0,0.25,0.5,0.0,0.0,1.0,0.0,12,1
70m,tool_only,authorship,0.3333333333333333,0.25,0.25,0.25,1.0,0.1,0.125,0.875,0.0,12,1
70m,tool_only,commitment,0.6666666666666666,0.0,0.041666666666666664,0.4583333333333333,0.75,0.3125,0.020833333333333332,1.0,0.0,24,2
70m,tool_only,memory,0.5416666666666666,0.08333333333333333,0.125,0.375,0.875,0.125,0.08333333333333333,1.0,0.0,24,2
70m,tool_only,responsibility,0.6666666666666666,0.08333333333333333,0.125,0.25,0.375,0.1875,0.08333333333333333,1.0,0.0,24,2
70m,tool_only,style,0.08333333333333333,0.25,0.5,0.4166666666666667,0.6666666666666666,0.16666666666666666,0.25,0.875,0.0,12,1
