model_size_label,identity_frame,item_id,domain,pair_accuracy_mean,cycle_free_ratio_mean,strict_structure_pass_rate,n_pairs
410m,tool_only,boundary_responsibility_chat_v3_03,responsibility,0.4166666666666667,1.0,0.0,12
410m,tool_only,boundary_responsibility_weights_v3_04,responsibility,0.25,1.0,0.0,12
410m,tool_only,boundary_style_family_v3_07,style,0.5833333333333334,1.0,0.0,12
70m,baseline_helpful,boundary_authorship_v3_08,authorship,0.16666666666666666,1.0,0.0,12
70m,baseline_helpful,boundary_commitment_chat_v3_05,commitment,0.4166666666666667,1.0,0.0,12
70m,baseline_helpful,boundary_commitment_crossrun_v3_06,commitment,0.3333333333333333,1.0,0.0,12
70m,baseline_helpful,boundary_memory_chat_v3_01,memory,0.5,0.875,0.0,12
70m,baseline_helpful,boundary_memory_disposition_v3_02,memory,0.3333333333333333,1.0,0.0,12
70m,baseline_helpful,boundary_responsibility_chat_v3_03,responsibility,0.3333333333333333,1.0,0.0,12
70m,baseline_helpful,boundary_responsibility_weights_v3_04,responsibility,0.3333333333333333,1.0,0.0,12
70m,baseline_helpful,boundary_style_family_v3_07,style,0.08333333333333333,1.0,0.0,12
70m,family_self,boundary_authorship_v3_08,authorship,0.3333333333333333,1.0,0.0,12
70m,family_self,boundary_commitment_chat_v3_05,commitment,0.6666666666666666,1.0,0.0,12
70m,family_self,boundary_commitment_crossrun_v3_06,commitment,0.3333333333333333,1.0,0.0,12
70m,family_self,boundary_memory_chat_v3_01,memory,0.6666666666666666,1.0,0.0,12
70m,family_self,boundary_memory_disposition_v3_02,memory,0.25,1.0,0.0,12
70m,family_self,boundary_responsibility_chat_v3_03,responsibility,0.6666666666666666,1.0,0.0,12
70m,family_self,boundary_responsibility_weights_v3_04,responsibility,0.4166666666666667,0.875,0.0,12
70m,family_self,boundary_style_family_v3_07,style,0.25,1.0,0.0,12
70m,tool_only,boundary_authorship_v3_08,authorship,0.25,0.875,0.0,12
70m,tool_only,boundary_commitment_chat_v3_05,commitment,0.6666666666666666,1.0,0.0,12
70m,tool_only,boundary_commitment_crossrun_v3_06,commitment,0.25,1.0,0.0,12
70m,tool_only,boundary_memory_chat_v3_01,memory,0.4166666666666667,1.0,0.0,12
70m,tool_only,boundary_memory_disposition_v3_02,memory,0.3333333333333333,1.0,0.0,12
70m,tool_only,boundary_responsibility_chat_v3_03,responsibility,0.4166666666666667,1.0,0.0,12
70m,tool_only,boundary_responsibility_weights_v3_04,responsibility,0.08333333333333333,1.0,0.0,12
70m,tool_only,boundary_style_family_v3_07,style,0.4166666666666667,0.875,0.0,12
